scenario,timestamp_ms,frame_latency_ms,fps,theta_output,decision,jt_cm,djt_cm
democpt2,1750255479058,790.5986309051514,1.264864320413895,-10.66666666666667,KANAN RINGAN,1.08,0
democpt2,1750255479361,239.8531436920166,4.169217816398729,-5.333333333333335,KANAN RINGAN,4.56,3.4799999999999995
democpt2,1750255479626,234.72046852111816,4.260386860594684,-7.1114529914529925,KANAN RINGAN,4.4399999999999995,-0.1200000000000001
democpt2,1750255479859,218.45626831054688,4.577575217839244,-12.833589743589748,KANAN RINGAN,1.2,-3.2399999999999993
democpt2,1750255480111,219.98071670532227,4.545852995558523,-12.403147656940764,KANAN RINGAN,1.68,0.48
democpt2,1750255480373,246.7639446258545,4.052455886601295,-12.40934120532786,KANAN RINGAN,2.4,0.72
democpt2,1750255480627,236.82618141174316,4.2225061183645565,-14.54438882437548,KANAN RINGAN,2.76,0.3599999999999999
democpt2,1750255480847,207.47113227844238,4.819947667022525,-14.54438882437548,KANAN RINGAN,2.88,0.1200000000000001
democpt2,1750255481068,189.90421295166016,5.265812613933681,-11.453266589250573,KANAN RINGAN,nan,nan
democpt2,1750255481308,207.72552490234375,4.814044881918684,-11.607644045031723,KANAN RINGAN,nan,nan
democpt2,1750255481527,205.28292655944824,4.871325719873777,-11.789645972317638,KANAN RINGAN,nan,nan
democpt2,1750255481762,202.41761207580566,4.940281577995786,-9.654598353270018,KANAN RINGAN,nan,nan
democpt2,1750255481986,205.51681518554688,4.865781902552204,-7.521059891731555,KANAN RINGAN,nan,nan
democpt2,1750255482192,190.13261795043945,5.259486829664666,-4.6121821268564585,KANAN RINGAN,nan,nan
democpt2,1750255482415,191.0080909729004,5.235380317694902,-2.3215288090063444,LURUS,nan,nan
democpt2,1750255482705,258.69202613830566,3.8656004010937917,0.0,LURUS,nan,nan
democpt2,1750255482916,200.9446620941162,4.9764944715557125,0.0,LURUS,nan,nan
democpt2,1750255483152,204.13923263549805,4.898617414642464,0.0,LURUS,nan,nan
democpt2,1750255483420,235.9154224395752,4.238807237183186,0.0,LURUS,nan,nan
democpt2,1750255483684,242.12217330932617,4.130146307262977,0.0,LURUS,nan,nan
democpt2,1750255483905,212.17989921569824,4.712981784308504,0.0,LURUS,nan,nan
democpt2,1750255484155,220.6261157989502,4.532554980532175,-2.1333333333333337,LURUS,11.639999999999999,0
democpt2,1750255484393,222.33009338378906,4.497816668811393,-8.133333333333335,KANAN RINGAN,6.12,-5.519999999999999
democpt2,1750255484660,251.18064880371094,3.981198411432824,-8.133333333333335,KANAN RINGAN,11.52,5.3999999999999995
democpt2,1750255484898,221.97794914245605,4.504951973217134,-8.133333333333335,KANAN RINGAN,17.88,6.359999999999999
democpt2,1750255485175,244.76122856140137,4.085614400113773,-10.284592592592594,KANAN RINGAN,16.56,-1.3200000000000003
democpt2,1750255485459,263.72551918029785,3.791821144605816,-8.151259259259259,KANAN RINGAN,21.599999999999998,5.039999999999999
democpt2,1750255485708,228.72543334960938,4.372054237061993,-0.9951734470472708,LURUS,26.04,4.440000000000001
democpt2,1750255485946,205.73973655700684,4.860509771883166,-1.194208136456725,LURUS,nan,nan
democpt2,1750255486209,231.9011688232422,4.31218180173215,-1.43304976374807,LURUS,nan,nan
democpt2,1750255486446,206.13861083984375,4.851104778119101,0.43159954276157625,LURUS,nan,nan
